# RHO(kg/m3)	PBAR(Pa)	ZC(m)
1.164	101070.000	0.000
1.159	100500.664	50.000
1.147	99370.172	150.000
1.135	98251.031	250.000
1.124	97143.492	350.000
1.112	96047.438	450.000
1.100	94962.789	550.000
1.089	93889.430	650.000
1.078	92827.242	750.000
1.067	91775.891	850.000
1.056	90734.930	950.000
1.046	89704.125	1050.000
1.036	88683.398	1150.000
1.026	87672.688	1250.000
1.016	86671.930	1350.000
1.005	85681.047	1450.000
0.996	84699.953	1550.000
0.986	83728.508	1650.000
0.976	82766.586	1750.000
0.966	81814.133	1850.000
0.957	80871.078	1950.000
0.947	79937.367	2050.000
0.938	79012.930	2150.000
0.929	78097.719	2250.000
0.919	77191.656	2350.000
0.910	76294.688	2450.000
0.901	75406.758	2550.000
0.892	74527.781	2650.000
0.883	73657.602	2750.000
0.875	72795.703	2850.000
0.867	71941.695	2950.000
0.859	71095.547	3050.000
0.851	70257.219	3150.000
0.843	69426.734	3250.000
0.835	68604.102	3350.000
0.827	67789.305	3450.000
0.819	66982.320	3550.000
0.811	66183.094	3650.000
0.803	65391.590	3750.000
0.795	64607.773	3850.000
0.787	63725.180	3960.345
0.779	62878.473	4101.724
0.766	61599.348	4270.690
0.751	60138.316	4467.241
0.734	58507.184	4691.379
0.715	56719.125	4943.103
0.695	54788.504	5222.414
0.673	52730.258	5529.310
0.651	50559.008	5863.793
0.627	48290.973	6225.862
0.600	45947.910	6615.517
0.574	43547.980	7032.759
0.548	41103.316	7477.586
0.521	38628.328	7950.000
0.495	36138.656	8450.000
0.467	33651.480	8977.586
0.439	31184.941	9532.759
0.412	28753.893	10115.517
0.387	26363.221	10725.862
0.362	24021.012	11363.793
0.336	21745.025	12029.310
0.310	19552.121	12722.414
0.282	17462.682	13443.103
0.249	15515.625	14191.379
0.220	13734.062	14967.241
0.193	12111.991	15770.690
0.169	10641.588	16601.724
0.147	9314.574	17460.345
0.128	8122.261	18346.552
0.111	7055.631	19260.345
